Indice,id_depto,fecha_fundacion,nombre,dominio
1,6854,1922-10-02,Comité Cultural y Biblioteca Juan Francisco Ibarra,sin_dominio
2,6588,1980-01-01,Bib.Pop. Anastasio Prieto,sin_dominio
3,6588,1933-10-12,Bib.Pop. José Ingenieros,sin_dominio
4,6007,1912-08-23,Bib.Pop. Adolfo Alsina,sin_dominio
5,6007,1925-01-01,Bib.Pop. José Ingenieros,hotmail
6,6014,1925-05-10,Bib.Pub. Bernardino Rivadavia,yahoo
7,6014,1942-11-30,Bib.Pop. Dr. Victor H. Barrera,hotmail
8,6021,1925-01-01,Bib.Pop. Andrés Vaccarezza,hotmail
9,6028,1918-08-01,Amigos de la Biblioteca Esteban Adrogué,sin_dominio
10,6028,1999-08-28,Bib. Pop. La Margarita blanca,sin_dominio
11,6028,1980-01-01,Bib.Pop. Mahatma Gandhi,tutopia
12,6028,1969-03-22,Bib.Pop. Pablo Rojas Paz,gmail
13,6028,1998-05-16,Bib.Pop. Manuel Belgrano del Barrio de Villa París,yahoo
14,6028,2007-11-16,Bib.Pop. Fray Luis Beltrán,yahoo
15,6028,1956-03-11,Bib.Pop.Soc.Fom. Martín Fierro,yahoo
16,6028,1999-12-10,Bib. Pop. Atahualpa Yupanqui,gmail
17,6427,1980-01-01,Bib.Pop. Gabriela Mistral,sin_dominio
18,6035,1932-03-01,Bib.Pop. Bartolomé Mitre,yahoo
19,6035,1940-06-28,Bib.Pop. José Mármol,yahoo
20,6035,2001-09-15,Bib.Pop. Dr. Estanislao S. Zeballos,gmail
21,6035,1996-05-07,Bib.Pop. Alfredo Palacios,yahoo
22,6035,1919-12-22,Bib.Pub.Mun.Pop. de Avellaneda,hotmail
23,6035,1980-01-01,Bib.Pop. Maestro Alfredo Bravo,yahoo
24,6035,1998-04-24,Bib.Pop. Dock Sud,gmail
25,6035,1918-10-10,Bib.Pop. Juan Bautista Alberdi,hotmail
26,6035,2002-06-02,Bib.Pop. Enrique del Valle Iberlucea,sin_dominio
27,6035,1921-10-28,Bib.Pop. Veladas de estudio después del trabajo,sin_dominio
28,6035,1987-07-24,Bib.Pop. Presidente Avellaneda,yahoo
29,6035,1980-01-01,Soc. Fom. y Cul. y Bib.Pop. Domingo Faustino Sarmiento,yahoo
30,6035,1985-09-13,Soc.Fom. U. de Dom. y Bib.Pop. Nicolás Avellaneda,yahoo
31,6035,1922-05-14,Bib.Pop. Juan M. de Pueyrredón,sin_dominio
32,6035,2008-07-09,Bib. Pop. Oscar Smith,yahoo
33,6042,sin fecha,Bib.Pub.Mun. Manuel Vilardaga,sin_dominio
34,6049,sin fecha,Bib.Pop. Bartolomé J. Ronco,bibliotecaronco
35,6049,1918-05-26,Bib.Pop. Almafuerte,sin_dominio
36,6049,1939-01-06,Bib.Pop. Asoc.Cult. de Chillar,yahoo
37,6056,sin fecha,Bib.Pop. Bernardino Rivadavia,abrbp
38,6056,1922-04-10,Bib.Pop. Bartolomé Mitre,yahoo
39,6056,1960-09-27,Bib.Pop. Roberto Payro,sin_dominio
40,6056,1980-01-01,Bib.Pop. Pajarita de papel,sin_dominio
41,6056,1980-01-01,Bib.Pop. Eduardo Mallea,yahoo
42,6056,1996-11-20,Bib.Pop. Don Germán García,yahoo
43,6056,2000-09-16,Bib.Pop. Rosario Sur,yahoo
44,6056,1996-04-13,Bib. Pop. Gabriela Mistral,yahoo
45,6056,1980-01-01,Bib.Pop. Simón Rodriguez,gmail
46,6056,1980-01-01,Bib. Pop. Villa Duprat,gmail
47,6056,2006-04-24,BIb. Pop. Martín Allica,yahoo
48,6056,1963-06-01,Bib.Pop. Mariano Moreno,sin_dominio
49,6056,1966-11-10,Asoc. José Hernández,sin_dominio
50,6056,1925-08-24,Bib.Pop. Mariano Moreno,gmail
51,6056,1989-12-29,Bib.Pop. Ing. Domingo Pronsato,yahoo
52,6063,1923-12-01,Bib.Pub. Pablo A. Pizzurno,yahoo
53,6070,sin fecha,Bib.Pop.Mun. Fray Luis de Bolaños,sin_dominio
54,6070,1919-10-05,Bib.Pop. José Manuel Estrada,sin_dominio
55,6070,1980-01-01,Bib.Pop. Mario Bravo,sin_dominio
56,6077,1939-04-22,Bib.Pop.Mun. Teniente Gral. Bme. Mitre,yahoo
57,6084,1946-12-26,Bib.Pop. Juan J. Bernal Torres,gmail
58,6091,1924-08-04,Bib.Pop. Manuel Belgrano,hotmail
59,6091,1986-11-04,Bib.Pop. Padre Carlos Mugica,hotmail
60,6091,2002-09-21,Bib.Pop. Juan María Gutierrez,hotmail
61,6091,1984-05-12,Bib.Pop. José Ingenieros,yahoo
62,6091,1980-01-01,Bib.Pop. y Cent. Victoria Ocampo,yahoo
63,6098,1935-07-09,Bib.Pop. Pestalozzi,gmail
64,6098,1944-06-11,Bib. Pop. Mariano Moreno,sin_dominio
65,6098,1949-02-02,Bib.Pop. Ricardo Güiraldes,yahoo
66,6098,1943-06-06,Bib.Pop. Almafuerte,sin_dominio
67,6098,1980-01-01,Bib.Pop. Mariano Moreno,sin_dominio
68,6098,1995-06-10,Bib.Pop. Presbítero Pascual Ruberto,hotmail
69,6098,1947-06-20,Bib.Pop. Belisario Roldán,sin_dominio
70,6105,1911-12-15,Bib.Pop. Bernardino Rivadavia,yahoo
71,6105,1926-05-26,Bib.Pop. D.F.Sarmiento,yahoo
72,6105,1972-07-08,Bib.Pop. María Alcira Cabrera,sin_dominio
73,6105,1933-07-21,Bib.Pop. D.F.Sarmiento,yahoo
74,6112,1943-12-03,Bib.Pop. Manuel Belgrano,yahoo
75,6112,1997-07-31,Bib.Pop. Florencio López,sin_dominio
76,6112,1926-05-01,Bib.Pop. Bernardino Rivadavia,sin_dominio
77,6021,1940-06-01,Bib.Pop. José Ingenieros,live
78,6112,1980-01-01,Bib.Pop. José Ignacio Warnes,yahoo
79,6119,1932-05-25,Bib.Pop. José de San Martín,sin_dominio
80,6119,1980-01-01,Bib.Pop. Dr. Frutos Enrique Ortiz,hotmail
81,6119,2002-03-22,Bib.Pop. Jeppener,sin_dominio
82,6126,1992-09-08,Bib. Pop. Pilar A. de Traverso,yahoo
83,6134,1927-07-01,Bib.Pop. D.F.Sarmiento,hotmail
84,6134,1980-01-01,Bib.Pop. Barrio San Esteban,yahoo
85,6140,1923-05-21,Bib.Pop. Almafuerte,hotmail
86,6147,1963-09-07,Bib.Pop. José Ingenieros,gmail
87,6147,2009-02-28,Bib.Pop. El Libro Alegre,hotmail
88,6147,1984-12-01,Bib.Pop.Esc. Dr. Enrique Smith,sin_dominio
89,6154,1916-10-28,Bib.Pop. Roque Saénz Peña,yahoo
90,6154,1920-09-26,Bib.Pop. Bernardino Rivadavia,servicoopsa
91,6161,1914-09-08,Bib.Pop. Juan Bautista Alberdi,yahoo
92,6168,1940-04-24,Bib.Pop. Juan José Castelli,yahoo
93,6210,1907-01-01,Bib.Pop. D.F.Sarmiento,sin_dominio
94,6210,1920-01-01,Bib.Pop. Guillermo Rawson,sin_dominio
95,6217,sin fecha,Bib.Pop. D.F.Sarmiento,yahoo
96,6217,1982-09-25,Bib.Pop.Soc.Fom. Nuestra Señora de Luján,hotmail
97,6217,1986-02-13,Bib.Pub. San José Obrero,yahoo
98,6217,1994-10-07,Bib.Pop. Ambulante y Rural de Chascomus,hotmail
99,6217,1997-02-22,Bib.Pop. del Ipora Padre Luis Sánchez,yahoo
100,6224,sin fecha,Bib.Pop. Dr. Antonio Novaro,hotmail
101,6182,1994-09-23,Bib.Pop. Esc. Ing. Luis Luiggi,sin_dominio
102,6182,2002-07-19,Bib.Pop. Puntaltense Mercedes de San Martín,gmail
103,6189,1928-05-24,Bib.Pop. Coronel Dorrego,sin_dominio
104,6189,1982-03-01,Bib.Pop. de José A. Guisasola,gmail
105,6189,1928-12-05,Bib.Pop. Florentino Ameghino,altisa
106,6196,1932-07-10,Bib.Pop. Pringles,sin_dominio
107,6203,1915-01-31,Bib.Pop. D.F.Sarmiento,yahoo
108,6203,1991-01-31,Bib.  Infantil de Coronel Suarez,gmail
109,6203,1969-09-27,Asoc.Bib.Pop.Púb.Esc. Dr. Baldomero Fernández Moreno,gmail
110,6175,1920-04-24,Bib.Pop. Mariano Moreno,sin_dominio
111,6182,1933-02-19,Bib.Pop. Juan Bautista Alberdi,gmail
112,6182,1980-01-01,Bib.Pop. Dr. Ricardo Gutierrez,hotmail
113,6238,1945-10-27,Bib.Pop. Gral. San Martín,sin_dominio
114,6245,1917-07-22,Bib.Pop. Mariano Moreno,sin_dominio
115,6245,1932-06-18,Bib.Pop. Gral. José de San Martín,sin_dominio
116,6245,1924-11-18,Bib.Pop.Pub. Bartolomé Mitre,sin_dominio
117,6245,1957-04-02,Bib.Pub.Pop.Mun. B. Fernández Moreno,sin_dominio
118,6245,1980-01-01,Bib.Pop. Osvaldo H. Merlo,yahoo
119,6252,1932-09-25,Bib.Pop. Bernardino Rivadavia,gmail
120,6252,1929-07-09,Bib.Pop. Juan Bautista Alberdi,yahoo
121,6260,1964-05-24,Bib.Pop. Florentino Ameghino,gmail
122,6260,1932-09-01,Bib.Pop. Bernardino Rivadavia,sin_dominio
123,6260,1980-01-01,Biblioteca Popular El Principito,sin_dominio
124,6270,1993-11-06,Soc. de Fom. y Bib. Pop. del Bo. Parque El Trébol,gmail
125,6270,1959-08-09,Bib.Pop. D.F.Sarmiento,yahoo
126,6274,1995-08-19,Bib. Pop. Lisandro de la Torre,sin_dominio
127,6274,1920-07-04,Bib.Pop. Del Centro Cult. Sarmiento,yahoo
128,6274,1985-03-31,Bib.Pop. Almafuerte,yahoo
129,6274,1980-01-01,Bib.Pop. Guillermo Enrique Hudson,hotmail
130,6274,1999-08-30,Bib. Pop. Dr. Florencio Varela,sin_dominio
131,6274,1980-01-01,Bib.Pop. Hugo del Carril,gmail
132,6274,1980-01-01,Bib.Pop. Santo Tomás de Aquino,yahoo
133,6274,2004-05-18,Asoc. Cult. y Bib. Pop. Dr. Ernesto de Muro,live
134,6274,2000-07-02,Cen. Cult.  y Bib.Pop. Poetisa Alfonsina Storni,sin_dominio
135,6274,1980-01-01,Bib. Pop. Florencio Sánchez,yahoo
136,6280,1997-05-25,Bib.Mun.Pop. Eloisa M. Rissoli,sin_dominio
137,6280,1976-12-19,Bib.Pop.Mun. General José de San Martín,yahoo
138,6287,1915-04-29,Bib.Pop. Florencio Balcarce,yahoo
139,6294,1932-10-12,Bib.Pop. Bernardino Rivadavia,sin_dominio
140,6294,2003-10-23,Bib.Pop. Domingo Faustino Sarmiento de Ascención,sin_dominio
141,6308,1980-01-01,Bib.Pop. Carlos Guido Spano,sin_dominio
142,6315,1944-04-02,Bib.Pop. José Hernández del Club Deportivo El León,sin_dominio
143,6322,1944-03-15,Bib.Pop. Presidente Mitre,yahoo
144,6329,1914-12-02,Bib.Pop. Felipe de Robles (h,sin_dominio
145,6336,1974-05-01,Bib.Pop.Pub.Mun. General Lavalle,hotmail
146,6351,1996-11-22,Bib.Pop.Esc. Antártida Argentina,yahoo
147,6351,1913-06-13,Bib.Pop. D.F.Sarmiento,sin_dominio
148,6351,1961-03-01,Bib. Esc. Pop. Ricardo Rojas,sin_dominio
149,6351,2000-06-10,Bib. Pop. Juan XXIII,hotmail
150,6357,1911-11-16,Bib.Pop. Juventud Moderna,sin_dominio
151,6357,1994-11-21,Bib.Pop.y C.Cult. Mar del Plata,sin_dominio
152,6357,1980-01-01,Bib.Pop. Juan Domingo Perón,sin_dominio
153,6357,1980-01-01,Bib.Pop. Barrio Santa Rita,sin_dominio
154,6357,1996-09-21,Bib.Pop. y Cen.Cul. Centenario,sin_dominio
155,6357,2014-11-10,Bib.Pop. El Desafío para Crecer,sin_dominio
156,6364,1936-07-20,Bib.Pop. Leandro N. Alem,sin_dominio
157,6385,1939-05-07,Bib. Pop. Mariano Moreno,yahoo
158,6385,2011-05-12,Bib.Pop. Minchekewun,sin_dominio
159,6392,1961-10-21,Bib.Esc.Pop. José Manuel Estrada,yahoo
160,6392,1991-06-28,Bib.Pop.Pub.Mun. Dolores A. Cirio de Busso,cseca
161,6392,1935-08-25,Bib.Pop.Pub.Mun. D.F.Sarmiento,servicoopsa
162,6392,1979-10-27,Bib.Pop.Pub.Mun. Benito Lynch,servicoopsa
163,6392,1991-09-05,Bib.Púb. Municipal Fortín de Gainza,hotmail
164,6399,2000-08-20,Bib.Pop. Angela A.B. de Abraham,sin_dominio
165,6399,1980-01-01,Bib. Pop. José Hernández,yahoo
166,6399,2000-11-27,Bib.Pop. Dardo Nepomuceno Arditi Rocha,hotmail
167,6399,1980-01-01,Bib.Pop. Dra. Alicia Teresa Morales,yahoo
168,6399,1956-10-25,Bib.Pub. Mariano Moreno,sin_dominio
169,6406,1922-06-14,Bib.Pop. Almafuerte,yahoo
