id_depto,Nombre,Provincia
2000,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires
6357,General Pueyrredón,Buenos Aires
6351,General Pinto,Buenos Aires
6231,Daireaux,Buenos Aires
6623,Pergamino,Buenos Aires
6665,Ramallo,Buenos Aires
6672,Rauch,Buenos Aires
6070,Baradero,Buenos Aires
6707,Saladillo,Buenos Aires
10049,Capital,Catamarca
14014,Capital,Córdoba
14112,Río Seco,Córdoba
18063,General Paz,Corrientes
18140,San Luis del Palmar,Corrientes
18105,Mercedes,Corrientes
18147,San Martín,Corrientes
18168,Santo Tomé,Corrientes
18084,Ituzaingó,Corrientes
18028,Concepción,Corrientes
22043,Fray Justo Santa María de Oro,Chaco
26105,Telsen,Chubut
30021,Diamante,Entre Ríos
30070,La Paz,Entre Ríos
38098,Tumbaya,Jujuy
38112,Yavi,Jujuy
42112,Puelén,La Pampa
42070,Guatraché,La Pampa
42014,Caleu Caleu,La Pampa
46007,Arauco,La Rioja
46035,Chamical,La Rioja
50091,San Carlos,Mendoza
50035,Junín,Mendoza
50119,Tunuyán,Mendoza
54007,Apóstoles,Misiones
54077,Libertador General San Martín,Misiones
54014,Cainguás,Misiones
58084,Ñorquín,Neuquén
58014,Añelo,Neuquén
58091,Pehuenches,Neuquén
62035,El Cuy,Río Negro
66049,General Güemes,Salta
66063,Guachipas,Salta
70049,Iglesia,San Juan
70014,Angaco,San Juan
70126,25 de Mayo,San Juan
70063,9 de Julio,San Juan
74056,Juan Martín de Pueyrredón,San Luis
74042,Gobernador Dupuy,San Luis
74035,General Pedernera,San Luis
78014,Deseado,Santa Cruz
86098,Juan Felipe Ibarra,Santiago del Estero
86021,Atamisqui,Santiago del Estero
90105,Tafí Viejo,Tucumán
90035,Graneros,Tucumán
6413,Junín,Buenos Aires
6515,Malvinas Argentinas,Buenos Aires
6322,General La Madrid,Buenos Aires
6063,Balcarce,Buenos Aires
6105,Bolívar,Buenos Aires
6655,Punta Indio,Buenos Aires
6112,Bragado,Buenos Aires
6028,Almirante Brown,Buenos Aires
6588,9 de Julio,Buenos Aires
6406,Hipólito Yrigoyen,Buenos Aires
6056,Bahía Blanca,Buenos Aires
6616,Pellegrini,Buenos Aires
6630,Pila,Buenos Aires
6728,San Andrés de Giles,Buenos Aires
6399,Guaminí,Buenos Aires
6168,Castelli,Buenos Aires
10007,Ambato,Catamarca
10098,Santa Rosa,Catamarca
10042,Capayán,Catamarca
10014,Ancasti,Catamarca
14105,Río Primero,Córdoba
14084,Presidente Roque Sáenz Peña,Córdoba
18035,Curuzú Cuatiá,Corrientes
18070,Goya,Corrientes
18161,San Roque,Corrientes
18119,Paso de los Libres,Corrientes
18126,Saladas,Corrientes
22140,San Fernando,Chaco
22161,Tapenagá,Chaco
22105,9 de Julio,Chaco
26091,Sarmiento,Chubut
30035,Federal,Entre Ríos
30049,Gualeguay,Entre Ríos
30088,San Salvador,Entre Ríos
30113,Villaguay,Entre Ríos
30042,Feliciano,Entre Ríos
30084,Paraná,Entre Ríos
30091,Tala,Entre Ríos
34021,Laishi,Formosa
38056,San Antonio,Jujuy
42147,Trenel,La Pampa
46070,General Juan Facundo Quiroga,La Rioja
50007,Capital,Mendoza
50049,Las Heras,Mendoza
50042,La Paz,Mendoza
50126,Tupungato,Mendoza
50077,Malargüe,Mendoza
54070,Leandro N. Alem,Misiones
54063,Iguazú,Misiones
58105,Picunches,Neuquén
58063,Loncopué,Neuquén
62042,General Roca,Río Negro
62084,Valcheta,Río Negro
66070,Iruya,Salta
66021,Cafayate,Salta
66161,Santa Victoria,Salta
70070,Pocito,San Juan
70056,Jáchal,San Juan
74049,Junín,San Luis
78028,Lago Argentino,Santa Cruz
82014,Caseros,Santa Fe
86154,Rivadavia,Santiago del Estero
86014,Alberdi,Santiago del Estero
86161,Robles,Santiago del Estero
90091,Simoca,Tucumán
6410,Ituzaingó,Buenos Aires
6882,Zárate,Buenos Aires
6875,Villarino,Buenos Aires
6547,Monte,Buenos Aires
6462,Leandro N. Alem,Buenos Aires
6505,Magdalena,Buenos Aires
6134,Cañuelas,Buenos Aires
6574,Navarro,Buenos Aires
6658,Quilmes,Buenos Aires
6007,Adolfo Alsina,Buenos Aires
6805,Tigre,Buenos Aires
6511,Maipú,Buenos Aires
6648,Presidente Perón,Buenos Aires
6301,General Belgrano,Buenos Aires
6336,General Lavalle,Buenos Aires
14147,Santa María,Córdoba
14028,Cruz del Eje,Córdoba
14056,Juárez Celman,Córdoba
18007,Bella Vista,Corrientes
18056,General Alvear,Corrientes
22147,San Lorenzo,Chaco
22056,General Donovan,Chaco
22119,Presidencia de la Plaza,Chaco
22126,1º de Mayo,Chaco
26014,Cushamen,Chubut
26035,Futaleufú,Chubut
26084,Río Senguer,Chubut
38035,Ledesma,Jujuy
