Cueanexo,id_depto,Nombre
20000100,2000,INSTITUTO PRIVADO ESCUELA EVANGELICA WILLIAM C. MORRIS
20000200,2000,CARLOS R. VIGNALE
20000300,2000,INSTITUTO SAN CAYETANO
20000500,2000,INSTITUTO NUESTRA SEÑORA DEL ROSARIO
20000700,2000,INSTITUTO NTRA SEÑORA DE LUJAN DE LOS PATRIOTAS
20000800,2000,DR MARTINIANO LEGUIZAMON
20000900,2000,BENITO QUINQUELA MARTIN
20001000,2000,JOSE JACINTO BERRUTTI
20001100,2000,REPUBLICA ITALIANA
20001200,2000,JUAN MARIA GUTIERREZ
20001700,2000,ESCUELA DE LA ALDEA
20001800,2000,FRAY JUSTO SANTA MARIA DE ORO
20002200,2000,REPUBLICA DE FILIPINAS
20002300,2000,JUAN RAMON JIMENEZ
20002400,2000,RECUERDOS DE PROVINCIA
20002500,2000,CARLOS GUIDO Y SPANO
20002600,2000,CENTRO DE ESTUDIOS INTERDISCPLINARIOS PARA EL APRENDIZAJE Y LA COMUNICACION
20002700,2000,JARDIN INFANTES A.B.C.
20002800,2000,INSTITUTO BET-EL
20002900,2000,INSTITUTO SAN PEDRO
20003100,2000,COLEGIO LAS CUMBRES
20003300,2000,INSTITUTO CONSTANZA RAMOS MEJIA DE BUNGE
20003400,2000,INST. COLEGIO SAN TARSICIO
20003500,2000,JARDIN DE INFANTES EL CENTAVO
20003700,2000,JIN B HOMERO MANZI DE 19 (N°11)
20003701,2000,JIN B HOMERO MANZI DE 19 (N°1)
20003703,2000,JIN B HOMERO MANZI DE 19 (N°10)
20003800,2000,MARIA SILVENTI DE AMATO
20003900,2000,PROFESOR CARLOS JUSTO FLORIT
20004000,2000,RICARDO GUIRALDES
20004100,2000,PROVINCIA DE CORRIENTES
20004200,2000,AERONAUTICA ARGENTINA
20004300,2000,JUAN ANDRES DE LA PEÑA
20004400,2000,JII Nº 01 DE 19
20004600,2000,REPUBLICA DE HONDURAS
20004700,2000,INSTITUTO BAYARD
20004800,2000,CABILDO DE BUENOS AIRES
20004900,2000,INSTITUTO PARROQUIAL SANTA LUCIA
20005000,2000,DR. PEDRO MELITON LEDESMA
20005100,2000,INGENIERO ALVAREZ CONDARCO
20005300,2000,PRESIDENTE DERQUI
20005400,2000,INSTITUTO SAN JUAN MARIA VIANNEY
20005500,2000,INSTITUTO INTEGRAL DEL SUD
20005600,2000,FRANCISCO DE GURRUCHAGA
20005800,2000,COLEGIO SECUNDARIO STO TOMAS DE AQUINO
20005801,2000,COLEGIO SEC. STO TOMAS DE AQUINO
20006300,2000,GENERAL GUEMES
