Cueanexo_EE,Sector_niveles
20000100,jardin
20000100,primario
20000100,secundario
20000200,primario
20000300,jardin
20000300,primario
20000500,jardin
20000500,primario
20000500,secundario
20000700,jardin
20000700,primario
20000700,secundario
20000800,primario
20000900,primario
20001000,primario
20001100,primario
20001200,primario
20001700,jardin
20001700,primario
20001800,primario
20002200,primario
20002300,primario
20002400,primario
20002500,primario
20002700,jardin
20002800,jardin
20002800,primario
20002900,jardin
20002900,primario
20003100,jardin
20003100,primario
20003100,secundario
20003300,jardin
20003300,primario
20003400,jardin
20003400,primario
20003500,jardin
20003700,jardin
20003701,jardin
20003703,jardin
20003800,primario
20003900,primario
20004000,primario
20004100,primario
20004200,primario
20004300,primario
20004400,jardin
20004600,primario
20004700,jardin
20004700,primario
20004800,primario
20004900,jardin
20004900,primario
20005000,primario
20005100,primario
20005300,primario
20005400,jardin
20005400,primario
20005500,jardin
20005600,primario
20005800,secundario
20005801,primario
20005801,secundario
20006300,primario
20006500,jardin
20006500,primario
20007100,primario
20007200,jardin
20007200,primario
20007300,primario
20007500,jardin
20007501,jardin
20007502,jardin
20007600,jardin
20007700,primario
20007800,secundario
20007900,secundario
20008200,jardin
20008200,primario
20008300,jardin
20008300,primario
20008300,secundario
20008400,jardin
20008500,primario
20008600,primario
20008700,jardin
20008700,primario
20008900,primario
20009000,primario
20009100,jardin
20009100,primario
20009100,secundario
20009500,jardin
20009500,primario
20009500,secundario
20009700,jardin
20009800,jardin
20009800,primario
20009800,secundario
20009900,jardin
20009900,primario
20010000,jardin
20010000,primario
20010000,secundario
20010200,jardin
20010200,primario
20010200,secundario
20010300,primario
20010400,jardin
20010400,primario
20011000,primario
20011100,primario
20011200,primario
20011300,primario
20011400,jardin
20011400,primario
20011500,jardin
20011500,primario
20011500,secundario
20011600,jardin
20011600,primario
20011600,secundario
20011700,jardin
20011800,jardin
20011800,primario
20011800,secundario
20012000,primario
20012100,primario
20012300,jardin
20012300,primario
20012300,secundario
20012301,secundario
20012500,primario
20012600,jardin
20012600,primario
20012600,secundario
20012700,jardin
20012700,primario
20012700,secundario
20012800,primario
20012900,secundario
20013000,primario
20013500,primario
20013600,primario
20013800,jardin
20013800,primario
20013800,secundario
20013900,primario
20014000,primario
20014100,primario
20014200,jardin
20014200,primario
20014200,secundario
20014300,secundario
20014400,jardin
20014500,secundario
20014600,jardin
20014600,primario
20015000,jardin
20015000,primario
20015000,secundario
20015200,secundario
20015300,primario
20015400,primario
20015500,jardin
20015700,jardin
20015700,primario
20015800,jardin
20015801,jardin
20015900,secundario
20016000,primario
20016100,primario
20016300,secundario
20016500,primario
20016600,primario
20016700,primario
20016800,jardin
20016800,primario
20016900,primario
20017000,jardin
20017400,jardin
20017400,primario
20017400,secundario
20017700,jardin
20017701,jardin
20017702,jardin
20017800,jardin
20017800,primario
20017800,secundario
20018100,primario
20018400,primario
20018500,primario
20018600,primario
20018700,jardin
20018701,jardin
20018702,jardin
20018800,jardin
20018900,primario
20019000,jardin
20019000,primario
20019000,secundario
20019200,secundario
20019300,primario
20019400,jardin
20019400,primario
20019600,primario
20019800,jardin
20019800,primario
20019800,secundario
20019900,jardin
20019900,primario
20019900,secundario
20020100,jardin
20020100,primario
20020100,secundario
20020200,primario
20020300,jardin
20020300,primario
20020300,secundario
20020600,jardin
20020600,primario
20020700,primario
20020800,primario
20020900,jardin
20020900,primario
20020900,secundario
20021200,jardin
20021300,primario
20021400,primario
20021500,primario
20021600,primario
20021700,jardin
20021700,primario
20021700,secundario
20021800,jardin
20021800,primario
20021800,secundario
20021900,primario
20022000,jardin
20022001,jardin
20022002,jardin
20022003,jardin
20022100,primario
20022300,jardin
20022300,primario
20022300,secundario
20022400,jardin
20022400,primario
20022500,jardin
20022500,primario
20023000,primario
20023100,jardin
20023100,primario
20023100,secundario
20023400,jardin
20023400,primario
20023500,secundario
20023600,primario
20023700,primario
20023900,jardin
20023901,jardin
20024800,jardin
20024800,primario
20024800,secundario
20024900,jardin
20024902,jardin
20024903,jardin
20025000,primario
20025100,primario
20025300,jardin
20025300,primario
20025300,secundario
20025400,jardin
20025400,primario
20025500,jardin
20026400,jardin
20026400,primario
20026400,secundario
20026800,primario
20027400,jardin
20027500,jardin
20027600,jardin
20027600,primario
20027600,secundario
20027800,jardin
20027804,jardin
20027900,primario
20028100,primario
20028500,secundario
20028600,secundario
20028700,jardin
20028700,primario
20028700,secundario
20028900,primario
20029000,jardin
20029001,jardin
20029002,jardin
20029300,jardin
20029300,primario
20029300,secundario
20029400,jardin
20029401,jardin
20029500,jardin
20029500,primario
20029500,secundario
20029600,primario
20029700,primario
20029800,primario
20029900,secundario
20030200,primario
20030300,jardin
20030300,primario
20030400,primario
20030500,primario
20030700,jardin
20030700,primario
20030700,secundario
20030900,jardin
20030902,jardin
