id_depto,Grupo_Etario,Cantidad
6007,jardin,1292
6007,primaria,1697
6007,secundaria,1437
6007,total,17344
6014,jardin,950
6014,primaria,1401
6014,secundaria,1170
6014,total,12847
6021,jardin,904
6021,primaria,1378
6021,secundaria,1198
6021,total,12906
6028,jardin,43762
6028,primaria,67913
6028,secundaria,58227
6028,total,583209
6035,jardin,22784
6035,primaria,37082
6035,secundaria,32476
6035,total,366117
6042,jardin,1699
6042,primaria,2442
6042,secundaria,2150
6042,total,21757
6049,jardin,5390
6049,primaria,8219
6049,secundaria,7066
6049,total,75152
6056,jardin,22621
6056,primaria,33944
6056,secundaria,28746
6056,total,334505
6063,jardin,3638
6063,primaria,5070
6063,secundaria,4268
6063,total,48516
6070,jardin,3225
6070,primaria,4372
6070,secundaria,3818
6070,total,39223
6077,jardin,2644
6077,primaria,3542
6077,secundaria,2961
6077,total,32077
6084,jardin,1608
6084,primaria,2277
6084,secundaria,2015
6084,total,21185
6091,jardin,25806
6091,primaria,41462
6091,secundaria,35467
6091,total,358328
6098,jardin,7704
6098,primaria,11779
6098,secundaria,9722
6098,total,100685
6105,jardin,2830
6105,primaria,3857
6105,secundaria,3206
6105,total,37194
6112,jardin,3360
6112,primaria,4807
6112,secundaria,4203
6112,total,46227
6119,jardin,2588
6119,primaria,3997
6119,secundaria,3510
6119,total,32350
6126,jardin,8120
6126,primaria,12587
6126,secundaria,10846
6126,total,107976
6134,jardin,6225
6134,primaria,9538
6134,secundaria,7497
6134,total,70542
6140,jardin,1180
6140,primaria,1713
6140,secundaria,1441
6140,total,15882
6147,jardin,1731
6147,primaria,2491
6147,secundaria,2110
6147,total,22905
6154,jardin,1107
6154,primaria,1557
6154,secundaria,1266
6154,total,14007
6161,jardin,1443
6161,primaria,1927
6161,secundaria,1709
6161,total,17345
6168,jardin,760
6168,primaria,1013
6168,secundaria,904
6168,total,9551
6175,jardin,2014
6175,primaria,2851
6175,secundaria,2561
6175,total,27406
6182,jardin,4705
6182,primaria,7353
6182,secundaria,6424
6182,total,65823
6189,jardin,1131
6189,primaria,1609
6189,secundaria,1418
6189,total,15795
6196,jardin,1890
6196,primaria,2791
6196,secundaria,2166
6196,total,24110
6203,jardin,2881
6203,primaria,4418
6203,secundaria,3537
6203,total,41713
6210,jardin,3518
6210,primaria,5344
6210,secundaria,4811
6210,total,52409
6218,jardin,3167
6218,primaria,4976
6218,secundaria,4223
6218,total,42191
6224,jardin,4906
6224,primaria,7181
6224,secundaria,6479
6224,total,70554
6231,jardin,1395
6231,primaria,1986
6231,secundaria,1828
6231,total,18328
6238,jardin,2569
6238,primaria,3369
6238,secundaria,2998
6238,total,31405
6245,jardin,4917
6245,primaria,7776
6245,secundaria,6660
6245,total,63978
6252,jardin,21900
6252,primaria,31983
6252,secundaria,25714
6252,total,256071
6260,jardin,27670
6260,primaria,41112
6260,secundaria,34241
6260,total,337880
6266,jardin,3424
6266,primaria,4920
6266,secundaria,3860
6266,total,40036
6270,jardin,17155
6270,primaria,25615
6270,secundaria,21089
6270,total,198620
6274,jardin,44663
6274,primaria,64455
6274,secundaria,52426
6274,total,488103
6277,jardin,876
6277,primaria,1275
6277,secundaria,1107
6277,total,10759
6280,jardin,3570
6280,primaria,4822
6280,secundaria,4254
6280,total,45307
6287,jardin,758
6287,primaria,1137
6287,secundaria,912
6287,total,10150
6294,jardin,1212
6294,primaria,1535
6294,secundaria,1404
6294,total,16231
6301,jardin,1618
6301,primaria,2272
6301,secundaria,1893
6301,total,20674
6308,jardin,236
6308,primaria,338
6308,secundaria,304
6308,total,3157
6315,jardin,1548
6315,primaria,2637
6315,secundaria,2375
6315,total,22566
6322,jardin,866
6322,primaria,1263
6322,secundaria,980
6322,total,11535
6329,jardin,1466
6329,primaria,2054
